EnsemblGeneID	Description	ChromosomeName	AssociatedGeneName	GCcontent	GeneType
ENSG00000196139	aldo-keto reductase family 1, member C3 [Source:HGNC Symbol;Acc:HGNC:386]	10	AKR1C3	40.4	protein_coding
ENSG00000257563	microRNA 3180-3 [Source:HGNC Symbol;Acc:HGNC:38239]	16	MIR3180-3	55.17	lincRNA
ENSG00000216937	coiled-coil domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26533]	10	CCDC7	37.57	protein_coding
ENSG00000231512	long intergenic non-protein coding RNA 1347 [Source:EntrezGene;Acc:731275]	1	LINC01347	38.2	lincRNA
ENSG00000155957	transmembrane BAX inhibitor motif containing 4 [Source:HGNC Symbol;Acc:HGNC:24257]	12	TMBIM4	38.11	protein_coding
ENSG00000214946	TBC1 domain family member 26 [Source:HGNC Symbol;Acc:HGNC:28745]	17	TBC1D26	54.2	protein_coding
ENSG00000196642	RAB, member RAS oncogene family-like 6 [Source:HGNC Symbol;Acc:HGNC:24703]	9	RABL6	57.25	protein_coding
ENSG00000279761		11	OR5D13	40.32	polymorphic_pseudogene
ENSG00000274628	family with sequence similarity 95 member B1 [Source:EntrezGene;Acc:100133036]	9	FAM95B1	53.67	processed_transcript
ENSG00000272987		11	OR5AL1	37.97	polymorphic_pseudogene
ENSG00000279395	Olfactory receptor 5L1  [Source:UniProtKB/Swiss-Prot;Acc:Q8NGL2]	11	OR5L1	46.22	polymorphic_pseudogene
ENSG00000279514	Olfactory receptor 4C16  [Source:UniProtKB/Swiss-Prot;Acc:Q8NGL9]	11	OR4C16	42.34	polymorphic_pseudogene
ENSG00000255104	TBC1 domain family member 26 [Source:HGNC Symbol;Acc:HGNC:28745]	17	TBC1D26	45.81	protein_coding
ENSG00000259001		14	RPPH1	59.4	antisense
ENSG00000242338	BMS1, ribosome biogenesis factor pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:23652]	10	BMS1P4	39.67	transcribed_unprocessed_pseudogene
ENSG00000258354	microRNA 3180-1 [Source:HGNC Symbol;Acc:HGNC:38382]	16	MIR3180-1	55.24	lincRNA
ENSG00000276232		12	SCARNA10	45.97	sense_intronic
ENSG00000272167		1	PROX1-AS1	42.91	antisense
ENSG00000230461	PROX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43656]	1	PROX1-AS1	41.3	processed_transcript
ENSG00000283122	hydatidiform mole associated and imprinted (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:5326]	6	HYMAI	40.45	non_coding
ENSG00000214049	urothelial cancer associated 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:37126]	19	UCA1	47.72	processed_transcript
ENSG00000241572	PRICKLE2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40916]	3	PRICKLE2-AS1	50.16	antisense
ENSG00000206474	olfactory receptor family 10 subfamily C member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	6	OR10C1	50	polymorphic_pseudogene
ENSG00000214837	long intergenic non-protein coding RNA 1347 [Source:HGNC Symbol;Acc:HGNC:50566]	1	LINC01347	45.53	transcribed_unprocessed_pseudogene
ENSG00000271816	BMS1, ribosome biogenesis factor pseudogene 4 [Source:EntrezGene;Acc:729096]	10	BMS1P4	41.14	processed_transcript
ENSG00000279686	endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:EntrezGene;Acc:641700]	5	ECSCR	49.4	protein_coding
ENSG00000227232	WAS protein family homolog 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]	1	WASH7P	54.43	unprocessed_pseudogene
ENSG00000264404	long intergenic non-protein coding RNA 864 [Source:EntrezGene;Acc:728218]	10	LINC00864	40.57	lincRNA
ENSG00000257264		16	MIR3179-1	46.75	lincRNA
ENSG00000262481		17	TMEM256-PLSCR3	53.68	protein_coding
ENSG00000249751	endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454]	5	ECSCR	51.11	protein_coding
ENSG00000274576	immunoglobulin heavy variable 2-70 [Source:HGNC Symbol;Acc:HGNC:5577]	14	IGHV2-70	51.58	IG_V_gene
ENSG00000281473	polled intersex syndrome regulated transcript 1 (non-protein coding RNA) [Source:HGNC Symbol;Acc:HGNC:16671]	3	PISRT1	41.43	lincRNA
ENSG00000015479	matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]	5	MATR3	38.84	protein_coding
ENSG00000271672	double homeobox A pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:32187]	22	DUXAP8	41.32	transcribed_processed_pseudogene
ENSG00000240288	ghrelin opposite strand/antisense RNA [Source:HGNC Symbol;Acc:HGNC:33885]	3	GHRLOS	53.56	antisense
ENSG00000279301		1	OR2T11	50.56	polymorphic_pseudogene
ENSG00000235947	eosinophil granule ontogeny transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:37129]	3	EGOT	44.64	lincRNA
ENSG00000231963	PABPC1L2B antisense RNA 1 (head to head) [Source:EntrezGene;Acc:101928345]	X	PABPC1L2B-AS1	50.75	antisense
ENSG00000223701	RAET1E antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48994]	6	RAET1E-AS1	48.08	antisense
ENSG00000268592	RAET1E antisense RNA 1 [Source:EntrezGene;Acc:100652739]	6	RAET1E-AS1	46.31	antisense
ENSG00000280314	olfactory receptor family 8 subfamily K member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15313]	11	OR8K3	39.08	polymorphic_pseudogene
ENSG00000257542	olfactory receptor family 7 subfamily E member 47 pseudogene [Source:HGNC Symbol;Acc:HGNC:8421]	12	OR7E47P	49.33	transcribed_unprocessed_pseudogene
ENSG00000259435	olfactory receptor family 4 subfamily N member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15374]	15	OR4N3P	47.92	processed_pseudogene
ENSG00000251164	hepatocellular carcinoma up-regulated long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:34232]	6	HULC	41.87	lincRNA
ENSG00000225655	PGM5 antisense RNA 1 [Source:EntrezGene;Acc:572558]	9	PGM5-AS1	54.86	lincRNA
ENSG00000255185	pyridoxal-dependent decarboxylase domain containing 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:27559]	16	PDXDC2P	44.64	transcribed_unprocessed_pseudogene
ENSG00000241111	PRICKLE2 antisense RNA 1 [Source:EntrezGene;Acc:100652759]	3	PRICKLE2-AS1	41.93	antisense
ENSG00000114395	cytochrome b561 family member D2 [Source:HGNC Symbol;Acc:HGNC:30253]	3	CYB561D2	55	protein_coding
ENSG00000225255	long intergenic non-protein coding RNA 1297 [Source:EntrezGene;Acc:106146148]	22	LINC01297	44.3	lincRNA
ENSG00000172459	Olfactory receptor 5AR1  [Source:UniProtKB/Swiss-Prot;Acc:Q8NGP9]	11	OR5AR1	45.91	polymorphic_pseudogene
ENSG00000270103		1	RNU11	51.91	lincRNA
ENSG00000280204	olfactory receptor family 1 subfamily S member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8227]	11	OR1S1	44.02	polymorphic_pseudogene
ENSG00000282827	ATR interacting protein [Source:EntrezGene;Acc:84126]	3	ATRIP	48.87	protein_coding
ENSG00000206195	double homeobox A pseudogene 8 [Source:EntrezGene;Acc:503637]	22	DUXAP8	41.82	processed_transcript
ENSG00000272724	olfactory receptor family 7 subfamily E member 47 pseudogene [Source:EntrezGene;Acc:26628]	12	OR7E47P	52.44	sense_intronic
ENSG00000283029	RNA, 7SL, cytoplasmic 1 [Source:EntrezGene;Acc:6029]	14	RN7SL1	63	non_coding
ENSG00000228055	long intergenic non-protein coding RNA 864 [Source:HGNC Symbol;Acc:HGNC:45163]	10	LINC00864	36.29	lincRNA
ENSG00000200040	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	38.94	misc_RNA
ENSG00000252621	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	39.09	misc_RNA
ENSG00000252891	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	43.64	misc_RNA
ENSG00000252341	Y RNA [Source:RFAM;Acc:RF00019]	5	Y_RNA	44.44	misc_RNA
ENSG00000275414	TUC338 [Source:RFAM;Acc:RF02271]	2	uc_338	51.4	misc_RNA
ENSG00000238943	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	43.64	misc_RNA
ENSG00000199442	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	47.42	misc_RNA
ENSG00000199701	Y RNA [Source:RFAM;Acc:RF00019]	8	Y_RNA	43.88	misc_RNA
ENSG00000275664	NoRC assoicated RNA, pRNA [Source:RFAM;Acc:RF01518]	21	pRNA	75.56	misc_RNA
ENSG00000201884	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	48.51	misc_RNA
ENSG00000212534	small nucleolar RNA, C/D box 70 [Source:HGNC Symbol;Acc:HGNC:32731]	2	SNORD70	37.5	snoRNA
ENSG00000278135	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	4	U2	36.84	snRNA
ENSG00000181395	olfactory receptor family 5 subfamily AL member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14844]	11	OR5AL1	38.05	pseudogene
ENSG00000252612	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	43.01	misc_RNA
ENSG00000212319	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	36.08	misc_RNA
ENSG00000275823	Deleted in lymphocytic leukemia 2 conserved region 3 [Source:RFAM;Acc:RF02107]	1	DLEU2_3	31.51	misc_RNA
ENSG00000276493	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	1	Metazoa_SRP	51.89	misc_RNA
ENSG00000201885	Y RNA [Source:RFAM;Acc:RF00019]	7	Y_RNA	41.18	misc_RNA
ENSG00000238371	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	2	snoU13	43.27	snoRNA
ENSG00000200361	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	42.16	misc_RNA
ENSG00000281669	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	9	Metazoa_SRP	48.9	misc_RNA
ENSG00000277958	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	1	Metazoa_SRP	56.74	misc_RNA
ENSG00000200651	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	42.86	misc_RNA
ENSG00000206699	Y RNA [Source:RFAM;Acc:RF00019]	8	Y_RNA	37.25	misc_RNA
ENSG00000275856	ZNRD1 antisense RNA 1 conserved region 2 [Source:RFAM;Acc:RF02219]	6	ZNRD1-AS1_2	46.05	misc_RNA
ENSG00000278236	TUC338 [Source:RFAM;Acc:RF02271]	7	uc_338	52.33	misc_RNA
ENSG00000199912	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	42.99	misc_RNA
ENSG00000252049	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	10	SNORA40	34.19	snoRNA
ENSG00000278172	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	13	Metazoa_SRP	60.08	misc_RNA
ENSG00000252822	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	39.58	misc_RNA
ENSG00000278838	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	Metazoa_SRP	48.42	misc_RNA
ENSG00000252761	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	44.57	misc_RNA
ENSG00000212206	Small nucleolar RNA SNORA69 [Source:RFAM;Acc:RF00265]	17	SNORA69	32.12	snoRNA
ENSG00000249020	small nucleolar RNA, H/ACA box 58 [Source:HGNC Symbol;Acc:HGNC:32652]	3	SNORA58	48.91	snoRNA
ENSG00000212325	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	36.84	misc_RNA
ENSG00000196274	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	53.94	misc_RNA
ENSG00000202019	Y RNA [Source:RFAM;Acc:RF00019]	22	Y_RNA	39.22	misc_RNA
ENSG00000200764	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	44	misc_RNA
ENSG00000270722	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	1	U1	53.66	snRNA
ENSG00000222883	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	36.67	misc_RNA
ENSG00000238575	Small nucleolar RNA U109 [Source:RFAM;Acc:RF01233]	18	snoU109	39.26	snoRNA
ENSG00000252000	Small nucleolar RNA ACA59 [Source:RFAM;Acc:RF01293]	2	ACA59	45.08	snoRNA
ENSG00000278233	RNA, 5.8S ribosomal 5 [Source:HGNC Symbol;Acc:HGNC:37660]	21	RNA5-8S5	57.52	rRNA
ENSG00000202382	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	44.12	misc_RNA
ENSG00000207493	small nucleolar RNA, H/ACA box 46 [Source:HGNC Symbol;Acc:HGNC:32639]	16	SNORA46	43.7	snoRNA
ENSG00000200428	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	34.19	misc_RNA
ENSG00000207094	Small nucleolar RNA SNORA67 [Source:RFAM;Acc:RF00272]	7	SNORA67	50	snoRNA
ENSG00000201683	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	44.12	misc_RNA
ENSG00000212205	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	42.05	misc_RNA
ENSG00000212134	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	20	SNORA40	29.69	snoRNA
ENSG00000252824	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	7	SNORA48	49.44	snoRNA
ENSG00000200572	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	45.13	misc_RNA
ENSG00000199715	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	40.2	misc_RNA
ENSG00000238519	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]	15	U8	45.86	snoRNA
ENSG00000201339	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	36.84	misc_RNA
ENSG00000201733	Small nucleolar RNA SNORA43 [Source:RFAM;Acc:RF00416]	11	SNORA43	49.29	snoRNA
ENSG00000201464	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	38.46	misc_RNA
ENSG00000199291	Y RNA [Source:RFAM;Acc:RF00019]	14	Y_RNA	42.16	misc_RNA
ENSG00000207304	small nucleolar RNA, H/ACA box 8 [Source:HGNC Symbol;Acc:HGNC:32596]	11	SNORA8	42.45	snoRNA
ENSG00000212191	Small nucleolar RNA SNORD65 [Source:RFAM;Acc:RF00571]	4	SNORD65	30.99	snoRNA
ENSG00000206647	Small nucleolar RNA SNORA2/SNORA34 family [Source:RFAM;Acc:RF00410]	2	SNORA2	47.41	snoRNA
ENSG00000278348	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	53.02	misc_RNA
ENSG00000275460	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	15	Metazoa_SRP	56.54	misc_RNA
ENSG00000206914	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	41.18	misc_RNA
ENSG00000207073	Y RNA [Source:RFAM;Acc:RF00019]	19	Y_RNA	44.55	misc_RNA
ENSG00000281431	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	5	Metazoa_SRP	49.38	misc_RNA
ENSG00000251744	Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]	8	SNORA25	44.76	snoRNA
ENSG00000278100	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	10	Metazoa_SRP	52.48	misc_RNA
ENSG00000212249	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]	5	U8	37.31	snoRNA
ENSG00000199245	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	38.53	misc_RNA
ENSG00000200419	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	43.14	misc_RNA
ENSG00000201660	Small nucleolar RNA SNORA20 [Source:RFAM;Acc:RF00401]	X	SNORA20	34.62	snoRNA
ENSG00000252802	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	44.12	misc_RNA
ENSG00000206682	Y RNA [Source:RFAM;Acc:RF00019]	5	Y_RNA	41.9	misc_RNA
ENSG00000199710	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	46.46	misc_RNA
ENSG00000280756	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	12	Metazoa_SRP	54.51	misc_RNA
ENSG00000201314	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	40.71	misc_RNA
ENSG00000202345	Y RNA [Source:RFAM;Acc:RF00019]	5	Y_RNA	39.82	misc_RNA
ENSG00000281441	Clostridiales-1 RNA [Source:RFAM;Acc:RF01699]	6	Clostridiales-1	35.71	sRNA
ENSG00000281789	Y RNA [Source:RFAM;Acc:RF00019]	12	Y_RNA	44.21	misc_RNA
ENSG00000274408	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	1	5S_rRNA	42.28	rRNA
ENSG00000277066	Deleted in lymphocytic leukemia 2 conserved region 2 [Source:RFAM;Acc:RF02106]	13	DLEU2_2	34.44	misc_RNA
ENSG00000212586	Small nucleolar RNA SNORA8 [Source:RFAM;Acc:RF00393]	6	SNORA8	43.88	snoRNA
ENSG00000201516	Small nucleolar RNA SNORA51 [Source:RFAM;Acc:RF00432]	4	SNORA51	46.34	snoRNA
ENSG00000212145	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]	3	U8	41.26	snoRNA
ENSG00000252266	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	35	misc_RNA
ENSG00000212161	Small Nucleolar RNA SNORD64 [Source:RFAM;Acc:RF00570]	1	SNORD64	31.34	snoRNA
ENSG00000201048	Y RNA [Source:RFAM;Acc:RF00019]	6	Y_RNA	37.84	misc_RNA
ENSG00000207009	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	46.36	misc_RNA
ENSG00000200733	Small nucleolar RNA SNORD38 [Source:RFAM;Acc:RF00212]	13	SNORD38	36.76	snoRNA
ENSG00000202275	Small nucleolar RNA SNORD51 [Source:RFAM;Acc:RF00280]	14	SNORD51	29.87	snoRNA
ENSG00000277512	small nucleolar RNA, C/D box 65 [Source:HGNC Symbol;Acc:HGNC:32726]	17	SNORD65	39.73	snoRNA
ENSG00000201329	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	8	U3	44.39	snoRNA
ENSG00000201102	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	44.25	misc_RNA
ENSG00000199566	Small nucleolar RNA SNORA64/SNORA10 family [Source:RFAM;Acc:RF00264]	12	SNORA64	52.27	snoRNA
ENSG00000278774	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	17	U2	46.35	snRNA
ENSG00000273658	TUC338 [Source:RFAM;Acc:RF02271]	12	uc_338	56.59	misc_RNA
ENSG00000277136	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	19	Metazoa_SRP	52.58	misc_RNA
ENSG00000278818	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	14	Metazoa_SRP	51.51	misc_RNA
ENSG00000207370	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	38.94	misc_RNA
ENSG00000281807	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	16	Metazoa_SRP	48.72	misc_RNA
ENSG00000229686	small nucleolar RNA, C/D box 56 [Source:HGNC Symbol;Acc:HGNC:10206]	20	SNORD56	45.07	snoRNA
ENSG00000238764	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	X	snoU13	42.31	snoRNA
ENSG00000238604	Y RNA [Source:RFAM;Acc:RF00019]	22	Y_RNA	43.56	misc_RNA
ENSG00000223111	Small nucleolar RNA SNORA74 [Source:RFAM;Acc:RF00090]	10	SNORA74	52.24	snoRNA
ENSG00000276932	Y RNA [Source:RFAM;Acc:RF00019]	GL000205.2	Y_RNA	38.61	misc_RNA
ENSG00000276376	U7 small nuclear RNA [Source:RFAM;Acc:RF00066]	15	U7	46.03	snRNA
ENSG00000199959	Small nucleolar RNA SNORA2/SNORA34 family [Source:RFAM;Acc:RF00410]	1	SNORA2	37.23	snoRNA
ENSG00000275996	small nucleolar RNA, C/D box 27 [Source:HGNC Symbol;Acc:HGNC:10149]	11	SNORD27	37.5	snoRNA
ENSG00000252069	Y RNA [Source:RFAM;Acc:RF00019]	X	Y_RNA	38.32	misc_RNA
ENSG00000281631	Clostridiales-1 RNA [Source:RFAM;Acc:RF01699]	17	Clostridiales-1	36.36	sRNA
ENSG00000278724	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	Metazoa_SRP	52.31	misc_RNA
ENSG00000199471	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	43.56	misc_RNA
ENSG00000200113	Small nucleolar RNA SNORA51 [Source:RFAM;Acc:RF00432]	7	SNORA51	51.43	snoRNA
ENSG00000239137	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	19	snoU13	48.08	snoRNA
ENSG00000252550	Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]	13	SNORA25	42.98	snoRNA
ENSG00000278523	Y RNA [Source:RFAM;Acc:RF00019]	2	Y_RNA	38.03	misc_RNA
ENSG00000277689	Deleted in lymphocytic leukemia 2 conserved region 2 [Source:RFAM;Acc:RF02106]	1	DLEU2_2	35.56	misc_RNA
ENSG00000276823	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	Metazoa_SRP	47.4	misc_RNA
ENSG00000207165	small nucleolar RNA, H/ACA box 70 [Source:HGNC Symbol;Acc:HGNC:10231]	X	SNORA70	56.3	snoRNA
ENSG00000275504	U7 small nuclear RNA [Source:RFAM;Acc:RF00066]	16	U7	45.31	snRNA
ENSG00000200508	Y RNA [Source:RFAM;Acc:RF00019]	1	Y_RNA	41.18	misc_RNA
ENSG00000199231	Small nucleolar RNA U2-19 [Source:RFAM;Acc:RF00494]	7	snoU2_19	38.75	snoRNA
ENSG00000251791	small Cajal body-specific RNA 6 [Source:HGNC Symbol;Acc:HGNC:32562]	2	SCARNA6	53.21	scaRNA
ENSG00000280816	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	1	Metazoa_SRP	52.9	misc_RNA
ENSG00000201151	Small nucleolar RNA SNORD56 [Source:RFAM;Acc:RF00275]	20	SNORD56	38.89	snoRNA
ENSG00000199200	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	41.67	misc_RNA
ENSG00000207148	Y RNA [Source:RFAM;Acc:RF00019]	4	Y_RNA	40.2	misc_RNA
ENSG00000273782	Urothelial cancer associated 1 conserved region [Source:RFAM;Acc:RF02202]	19	UCA1	58.67	misc_RNA
ENSG00000199979	Y RNA [Source:RFAM;Acc:RF00019]	16	Y_RNA	42.16	misc_RNA
ENSG00000200305	Y RNA [Source:RFAM;Acc:RF00019]	15	Y_RNA	41.9	misc_RNA
ENSG00000200600	Y RNA [Source:RFAM;Acc:RF00019]	5	Y_RNA	42.16	misc_RNA
ENSG00000273614	Small nucleolar RNA SNORA11 [Source:RFAM;Acc:RF00614]	21	SNORA11	57.03	snoRNA
ENSG00000251996	Y RNA [Source:RFAM;Acc:RF00019]	Y	Y_RNA	41.96	misc_RNA
ENSG00000207132	Y RNA [Source:RFAM;Acc:RF00019]	17	Y_RNA	44.12	misc_RNA
ENSG00000207249	Small nucleolar RNA SNORA72 [Source:RFAM;Acc:RF00139]	2	SNORA72	37.98	snoRNA
ENSG00000274883	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	17	Metazoa_SRP	54.32	misc_RNA
ENSG00000274967	Y RNA [Source:RFAM;Acc:RF00019]	3	Y_RNA	44.64	misc_RNA
ENSG00000278732	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	13	Metazoa_SRP	54.61	misc_RNA
ENSG00000274072	MALAT1-associated small cytoplasmic RNA/MEN beta RNA [Source:RFAM;Acc:RF01684]	11	mascRNA-menRNA	61.4	sRNA
ENSG00000222503	Y RNA [Source:RFAM;Acc:RF00019]	10	Y_RNA	46.3	misc_RNA
ENSG00000201674	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	X	U3	41.59	snoRNA
ENSG00000202233	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	7	U3	47.58	snoRNA
